trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.6, 'e': 0.7179106696109433}",20,0,-69.6122874585294,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.6, 'e': 0.7109135380122773}",25,6,-27.39460352903324,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.7038453156522361}",25,4,-31.64466873112345,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.6967067093471654}",30,11,-81.11492940871416,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.6, 'e': 0.689498432951747}",20,0,-50.15964622205433,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.6, 'e': 0.6822212072876135}",20,14,-22.605743046712362,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.674875760071267}",25,0,-35.317851410991985,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.6, 'e': 0.6674628258413081}",25,0,-54.93207012374199,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.6, 'e': 0.6599831458849822}",20,0,-85.42084661857876,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
86,False,"{'a': 0.6, 'e': 0.6524374681640519}",20,0,-15.14389694282535,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.6448265472400012}",20,12,10.349843523781413,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.6371511441985802}",30,13,-47.606435852988106,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.6, 'e': 0.6294120265736969}",25,3,-124.79818038024372,"{0: 13, 1: 5, 2: 0, 3: 2, 4: 2}",1
90,False,"{'a': 0.6, 'e': 0.6216099682706644}",35,18,-51.327979425020686,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.6, 'e': 0.6137457494888116}",25,3,-139.08317257955085,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 3}",1
92,False,"{'a': 0.6, 'e': 0.6058201566434628}",25,12,-34.01222676787792,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.5978339822872982}",25,16,16.23512684870045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.5897880250310982}",30,0,-119.67961798627263,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
95,False,"{'a': 0.6, 'e': 0.5816830894638835}",20,0,-52.470253809380004,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.6, 'e': 0.5735199860724567}",25,0,21.476008055278577,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.6, 'e': 0.5652995311603544}",30,19,4.704062593250481,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.5570225467662173}",20,13,-8.65237262741174,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.5486898605815875}",25,20,11.8104297969622,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.5403023058681398}",20,0,-69.10309945408474,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.6, 'e': 0.5318607213743555}",30,12,-20.976111322944263,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.5233659512516495}",20,0,16.070203710063694,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.6, 'e': 0.5148188449699553}",20,2,-67.48467408913746,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.6, 'e': 0.5062202572327784}",20,3,-49.75434324631018,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.49757104789172696}",25,0,2.7613417270135407,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
